Area	long	lat	year	houseSales	meanHousePrice	MedianHousePrice	populationOfTaxPayers	meanAnnualSalary	MedianAnnualSalary	weeklyRent
Brent	51.5588	-0.2817	2000	4538	154194	139000	130000	22200	16800	73
Brent	51.5588	-0.2817	2001	4837	175865	158000	127000	21100	16500	74
Brent	51.5588	-0.2817	2002	4915	210014	187000	116000	21700	16400	74
Brent	51.5588	-0.2817	2003	4318	230062	210000	119000	22500	16800	74
Brent	51.5588	-0.2817	2004	4154	249534	223500	137000	21800	16500	77
Brent	51.5588	-0.2817	2005	3330	266301	240000	135000	23200	17600	80
Brent	51.5588	-0.2817	2006	4004	284109	249950	144000	24600	18200	79
Brent	51.5588	-0.2817	2007	4351	321197	280000	161000	24700	18300	83
Brent	51.5588	-0.2817	2008	2096	328763	275000	150000	25000	18500	87
Brent	51.5588	-0.2817	2009	1601	322691	275000	145000	26100	19600	87
Brent	51.5588	-0.2817	2010	2427	345055	283000	146000	26700	19700	88
Brent	51.5588	-0.2817	2011	2218	360423	300000	149000	27400	20200	95
Brent	51.5588	-0.2817	2012	2076	395126	322500	144000	28300	20600	105
Brent	51.5588	-0.2817	2013	2439	429877	347500	150000	29700	21300	113
Brent	51.5588	-0.2817	2014	2850	468859	385000	147000	31200	22700	115
Brent	51.5588	-0.2817	2015	2927	506322	415000	154000	32600	23200	114
Brent	51.5588	-0.2817	2016	2864	517497	445000	155000	34100	24100	113
Brent	51.5588	-0.2817	2017	1979	578705	499950	155000	35400	24700	114
Brent	51.5588	-0.2817	2018	2000	600000	500000	159000	36300	25600	113
Brent	51.5588	-0.2817	2019	1854	620000	520000	155000	37800	26200	113
Brent	51.5588	-0.2817	2020	1862	630000	580000	152000	40400	27200	116
Brent	51.5588	-0.2817	2021	1742	700000	621000	149000	44100	30000	120
Bromley	51.405	0.0148	1995	4798	93441	76625	151000	46000	33000	125
Bromley	51.405	0.0148	1996	6483	97597	80000	153000	47000	38000	125
Bromley	51.405	0.0148	1997	7353	105027	86000	154000	48000	39000	127
Bromley	51.405	0.0148	1998	6212	118048	99995	155000	49000	40000	126
Bromley	51.405	0.0148	1999	7246	138486	116500	163000	25100	18500	126
Bromley	51.405	0.0148	2000	6636	164025	135000	167000	26400	19500	126
Bromley	51.405	0.0148	2001	7606	182176	152725	164000	27400	19100	129
Bromley	51.405	0.0148	2002	8163	209252	176820	160000	27700	20100	132
Bromley	51.405	0.0148	2003	6958	238066	205000	150000	29200	21400	135
Bromley	51.405	0.0148	2004	7602	259452	225000	169000	29200	20900	139
Bromley	51.405	0.0148	2005	6399	267788	230000	173000	31400	22400	145
Bromley	51.405	0.0148	2006	8472	282058	242500	177000	32800	23000	149
Bromley	51.405	0.0148	2007	8069	316391	260000	181000	34400	23200	155
Bromley	51.405	0.0148	2008	3788	304375	250000	170000	35000	24000	155
Bromley	51.405	0.0148	2009	3947	301946	249000	163000	36500	24900	156
Bromley	51.405	0.0148	2010	4413	327306	275000	161000	35900	25800	159
Bromley	51.405	0.0148	2011	4363	336236	275000	168000	36400	25100	164
Bromley	51.405	0.0148	2012	4854	333020	277500	169000	37200	26900	165
Bromley	51.405	0.0148	2013	5458	354045	295000	173000	39000	27200	168
Bromley	51.405	0.0148	2014	6076	397487	335000	168000	40400	28100	169
Bromley	51.405	0.0148	2015	5957	441675	375000	171000	43500	29800	172
Bromley	51.405	0.0148	2016	5242	478142	420000	172000	44000	30400	175
Bromley	51.405	0.0148	2017	4663	502623	440000	174000	45500	32000	179
Bromley	51.405	0.0148	2018	4500	510000	450000	177000	46600	32800	185
Bromley	51.405	0.0148	2019	4400	530000	480000	176000	48200	33700	188
Bromley	51.405	0.0148	2020	4100	590000	500000	177000	49300	33800	194
Bromley	51.405	0.0148	2021	4200	620000	520000	176000	54500	35800	199
Camden	51.5413	-0.1467	1995	2823	151364	114000	181000	58000	39000	58
Camden	51.5413	-0.1467	1996	3688	168988	127500	184000	60000	39000	58
Camden	51.5413	-0.1467	1997	4086	193421	145000	185000	62000	40000	58
Camden	51.5413	-0.1467	1998	3664	220291	160000	188000	63000	41000	60
Camden	51.5413	-0.1467	1999	4083	248232	190000	85000	39000	20500	60
Camden	51.5413	-0.1467	2000	3582	311696	235000	107000	40000	19700	63
Camden	51.5413	-0.1467	2001	3702	339288	249995	101000	42800	19800	65
Camden	51.5413	-0.1467	2002	3947	377033	279950	96000	43000	21700	69
Camden	51.5413	-0.1467	2003	3221	377836	273000	90000	45700	21300	70
Camden	51.5413	-0.1467	2004	3833	411840	305000	97000	50200	23200	68
Camden	51.5413	-0.1467	2005	3395	440809	325000	97000	56200	24200	72
Camden	51.5413	-0.1467	2006	4210	492802	357500	101000	60200	25900	75
Camden	51.5413	-0.1467	2007	3690	562205	410000	107000	69800	26900	79
Camden	51.5413	-0.1467	2008	2093	656935	440000	105000	69000	27000	82
Camden	51.5413	-0.1467	2009	2222	600683	417500	103000	68900	28400	85
Camden	51.5413	-0.1467	2010	2769	716429	478500	101000	67100	29400	86
Camden	51.5413	-0.1467	2011	2650	724250	483500	104000	69300	30400	92
Camden	51.5413	-0.1467	2012	2432	780751	500000	105000	71200	31600	104
Camden	51.5413	-0.1467	2013	2936	836170	585000	99000	78900	32000	104
Camden	51.5413	-0.1467	2014	2724	966927	675000	104000	79200	33100	110
Camden	51.5413	-0.1467	2015	2450	1040035	705000	103000	85000	34400	115
Camden	51.5413	-0.1467	2016	2145	1063248	735000	103000	88000	35500	114
Camden	51.5413	-0.1467	2017	2128	1099876	760000	101000	92600	37300	113
Camden	51.5413	-0.1467	2018	2100	1100000	770000	106000	87400	35600	113
Camden	51.5413	-0.1467	2019	2000	1500000	820000	104000	96900	38200	111
Camden	51.5413	-0.1467	2020	1950	1800000	860000	100000	107000	38900	114
Camden	51.5413	-0.1467	2021	1900	1900000	880000	108000	119000	38900	115
Croydon	51.3723	-0.1004	1995	5232	71800	60000	145000	17000	16000	60
Croydon	51.3723	-0.1004	1996	6489	75678	64500	147000	18000	16200	62
Croydon	51.3723	-0.1004	1997	7511	83343	71000	149000	19000	16400	62
Croydon	51.3723	-0.1004	1998	7383	94296	79000	150000	20000	16500	63
Croydon	51.3723	-0.1004	1999	8003	107094	89000	152000	21500	16700	64
Croydon	51.3723	-0.1004	2000	6154	128084	110000	162000	22100	17300	68
Croydon	51.3723	-0.1004	2001	7000	144254	126000	153000	23500	18300	66
Croydon	51.3723	-0.1004	2002	8619	172274	150100	166000	23400	18000	69
Croydon	51.3723	-0.1004	2003	7652	196228	172000	165000	23300	19000	66
Croydon	51.3723	-0.1004	2004	7709	209354	185000	175000	24300	18600	68
Croydon	51.3723	-0.1004	2005	6339	218049	194500	173000	25800	19600	70
Croydon	51.3723	-0.1004	2006	8163	230773	205000	171000	27200	20700	74
Croydon	51.3723	-0.1004	2007	8271	247869	222500	179000	28100	20900	79
Croydon	51.3723	-0.1004	2008	3900	253571	226500	170000	29000	21000	82
Croydon	51.3723	-0.1004	2009	3393	233442	200000	166000	29700	23100	84
Croydon	51.3723	-0.1004	2010	3643	254458	220000	173000	29000	22000	85
Croydon	51.3723	-0.1004	2011	3512	256219	220000	171000	29700	22700	96
Croydon	51.3723	-0.1004	2012	3634	262587	230000	174000	30700	23900	100
Croydon	51.3723	-0.1004	2013	4811	271891	239950	173000	31800	24300	105
Croydon	51.3723	-0.1004	2014	5841	300572	265000	176000	32600	25100	107
Croydon	51.3723	-0.1004	2015	5617	340768	306000	178000	34200	26300	107
Croydon	51.3723	-0.1004	2016	5177	372054	338000	186000	33800	25600	105
Croydon	51.3723	-0.1004	2017	4725	399645	365000	183000	35600	27500	104
Croydon	51.3723	-0.1004	2018	4500	400000	380000	187000	36500	27800	103
Croydon	51.3723	-0.1004	2019	4300	410000	390000	184000	37800	29400	103
Croydon	51.3723	-0.1004	2020	4100	420000	410000	189000	38300	29100	106
Croydon	51.3723	-0.1004	2021	4200	430000	420000	190000	40900	30400	109
Ealing	51.5127	-0.305	1995	4068	91045	75000	121000	19800	18700	58
Ealing	51.5127	-0.305	1996	5169	97595	80000	124000	19900	15900	58
Ealing	51.5127	-0.305	1997	5963	112582	90000	125000	20000	16000	60
Ealing	51.5127	-0.305	1998	5727	126671	103000	129000	21000	16200	60
Ealing	51.5127	-0.305	1999	6268	153236	125000	130000	22800	16400	61
Ealing	51.5127	-0.305	2000	5387	176993	145000	149000	23800	17000	63
Ealing	51.5127	-0.305	2001	6156	196261	163000	141000	25200	17500	66
Ealing	51.5127	-0.305	2002	6348	227974	190000	141000	25400	18900	68
Ealing	51.5127	-0.305	2003	5858	238760	210000	135000	26100	19400	64
Ealing	51.5127	-0.305	2004	6089	260325	231000	154000	26500	19100	67
Ealing	51.5127	-0.305	2005	4950	271985	235000	165000	26900	19000	69
Ealing	51.5127	-0.305	2006	6564	292639	248000	159000	28700	19900	74
Ealing	51.5127	-0.305	2007	6237	327798	270000	169000	30000	20200	77
Ealing	51.5127	-0.305	2008	2783	327502	270000	160000	31000	21000	79
Ealing	51.5127	-0.305	2009	2398	328818	257750	156000	32400	21800	82
Ealing	51.5127	-0.305	2010	3213	350588	279275	166000	30700	20800	82
Ealing	51.5127	-0.305	2011	3035	375143	293000	162000	32000	21300	86
Ealing	51.5127	-0.305	2012	3253	397675	310000	163000	32600	22700	93
Ealing	51.5127	-0.305	2013	3806	427847	326000	166000	34500	23200	92
Ealing	51.5127	-0.305	2014	3378	501526	387775	167000	35300	24600	95
Ealing	51.5127	-0.305	2015	3486	524967	432000	175000	37000	24900	97
Ealing	51.5127	-0.305	2016	3060	553669	465000	177000	37300	26100	96
Ealing	51.5127	-0.305	2017	2527	578110	485000	170000	39700	26700	96
Ealing	51.5127	-0.305	2018	2410	590000	500000	173000	39800	26400	96
Ealing	51.5127	-0.305	2019	2416	610000	520000	170000	42700	28200	95
Ealing	51.5127	-0.305	2020	2310	620000	540000	172000	44100	29500	98
Ealing	51.5127	-0.305	2021	2111	680000	560000	178000	46800	30900	100
Enfield	51.6537	-0.0849	1995	4772	78510	66000	182000	49000	32000	54
Enfield	51.6537	-0.0849	1996	5539	82956	69995	184000	52000	33000	54
Enfield	51.6537	-0.0849	1997	6166	95078	78000	189000	52000	35000	55
Enfield	51.6537	-0.0849	1998	6174	102483	85000	192000	53000	36000	56
Enfield	51.6537	-0.0849	1999	6631	113881	94000	124000	21500	16100	56
Enfield	51.6537	-0.0849	2000	5830	133086	114000	123000	20800	15900	58
Enfield	51.6537	-0.0849	2001	7155	154918	130000	128000	23100	17500	63
Enfield	51.6537	-0.0849	2002	7332	178250	153000	121000	24100	18100	66
Enfield	51.6537	-0.0849	2003	6383	205939	180000	119000	24200	18200	65
Enfield	51.6537	-0.0849	2004	6273	220110	193000	132000	23900	17000	67
Enfield	51.6537	-0.0849	2005	5102	228931	200000	132000	25800	18900	69
Enfield	51.6537	-0.0849	2006	6376	244472	210000	139000	27100	19500	72
Enfield	51.6537	-0.0849	2007	6484	267817	233000	145000	28100	19900	77
Enfield	51.6537	-0.0849	2008	3120	271592	234600	140000	29000	20000	79
Enfield	51.6537	-0.0849	2009	2570	266596	225000	134000	30600	22100	81
Enfield	51.6537	-0.0849	2010	2910	284303	241000	135000	29000	20900	81
Enfield	51.6537	-0.0849	2011	2734	285335	240000	135000	30400	22300	86
Enfield	51.6537	-0.0849	2012	2805	295101	248000	143000	30800	22700	92
Enfield	51.6537	-0.0849	2013	3368	309261	250000	136000	32900	23900	96
