,1975-76,,,1976-77,,,1977-78,,,1978-79,,,1979-80,,,1980-81,,,1981-82,,,1982-83,,,1983-84,,,1984-85,,,1985-86,,,1986-87,,,1987-88,,,1988-89,,,1989-90,,,1990-91,,,1991-92,,,1992-93,,,1993-94,,,1994-95,,,1995-96,,,,,,1996-97,,,,,,1997-98,,,,,,1998-99,,,,,,1999-00,,,,,,,,,,2000-01,,,,,,,,,,,2001-02,,,,,,,,,,,2002-03,,,,,,,,,,,2003-04,,,,,,,,,,,2004-05,,,,,,,,,,,2005-06,,,,,,,,,,,2006-07,,,,,,,,,,,2007-08,,,,,,,,,,,2008-09,,,,,,,,2009-10,,,,,,,,,,,2010-11,,,,,,,,,,,2011-12,,,,,,,,,,,2012-13,,,,,,,,,,,2013-14,,,,,,,,,,,2014-15,,,,,,,,,,,,,,2015-16,,,,,,,,,,,,,,2016-17,,,,,,,,,,,,,,2017-18,,,,,,,,,,,,,,2018-19,,,,,,,,,,,2019-20,,,,,,,,,,,2020-21,,,,,,,,,,,2021-22,,,,,,,,,,,2022-23,,,,,,,,2023-24,,
Newham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,974","47,528","46,750",,,,"3,401","50,082","50,000",,,,"3,822","57,380","56,000",,,,"4,036","65,286","63,500",,,,"4,422","75,326","71,973","80,000","15,800","13,300",49.4,,,,"4,907","97,266","91,995","95,000"," 17,000 "," 14,700 ",,54.35,,,,"5,531","117,223","112,000","88,000","17,700","15,300",,56.35,,,,"5,573","145,563","141,000","96,000","17,300","15,000",,58.63,,,,"5,455","177,796","173,000","96,000","17,400","14,500",,60.05,,,,"4,765","191,477","186,995","112,000","18,500","15,100",,57.88,,,,"3,945","203,395","197,600","109,000","19,200","15,200",,60.59,,,,"4,489","211,861","211,500","115,000","19,600","15,800",,63.62,,,,"4,408","231,013","230,000","122,000","21,000","16,500",,68.33,,,,"2,708","243,171","235,000",,71.04,,,,"1,424","206,115","200,000","118,000","21,900","17,600",,73.18,,,,"1,693","219,872","220,000","123,000","21,700","17,400",,74.29,,,,"1,615","214,915","219,000","127,000","22,000","17,600",,98.24,,,,"1,708","218,974","219,000","130,000","23,100","18,500",,95.31,,,,"2,332","233,074","230,000","124,000","24,800","20,100",,101,,,,,,,"2,869","269,497","250,000","130,000","25,400","20,200",,97.92,,,,,,,"2,834","319,348","310,000","136,000","27,300","22,100",,100.84,,,,,,,"2,737","370,476","355,000","134,000","28,200","22,500",,103.39,,,,,,,"3,384","409,477","390,500","141,000","30,000","24,100",,99.69,,,,,,,"154,000","31,000","24,300",,99.17,,,,,,,"158,000","31,700","24,600",,101.98,,,,,,,"144,000","34,300","26,600",,104.64,,,,,,,"146,000","36,100","28,300",,106.95,,,,,,,,111.05,,,
Redbridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,001","75,003","67,995",,,,"4,664","80,572","71,000",,,,"5,138","86,048","76,375",,,,"4,803","95,245","85,000",,,,"5,543","109,668","97,500","96,000","21,700","17,100",67.65,,,,"4,980","131,900","119,000","98,000","21,700","16,900",,69.14,,,,"5,782","155,125","138,000","118,000","23,800","17,200",,70,,,,"6,306","185,697","168,000","111,000","24,000","18,700",,68.27,,,,"5,743","211,539","195,000","111,000","24,100","19,000",,68.05,,,,"5,900","232,737","217,500","120,000","24,500","17,800",,70.35,,,,"4,923","238,364","225,000","122,000","26,500","20,000",,71.79,,,,"5,837","256,576","238,000","126,000","28,300","20,700",,74.42,,,,"5,477","280,740","250,000","128,000","29,100","21,600",,79.31,,,,"3,026","280,700","250,000",,81.4,,,,"2,552","255,681","230,000","124,000","30,200","22,300",,83.6,,,,"2,968","286,209","250,000","128,000","29,400","22,200",,83.79,,,,"2,539","294,854","250,000","127,000","30,900","22,900",,89.25,,,,"2,509","303,591","265,000","128,000","31,800","23,800",,98.72,,,,"2,947","315,401","275,000","130,000","33,100","25,100",,102.82,,,,,,,"3,574","338,667","300,000","131,000","33,900","25,700",,105.11,,,,,,,"3,294","387,917","350,000","140,000","35,300","26,400",,104.7,,,,,,,"2,960","423,130","390,000","137,000","35,500","27,400",,105.59,,,,,,,"2,569","452,437","420,000","136,000","37,100","28,000",,104.76,,,,,,,"138,000","37,100","27,300",,105.26,,,,,,,"138,000","38,500","28,900",,104.85,,,,,,,"139,000","40,300","30,400",,108.8,,,,,,,"138,000","42,700","31,200",,111.59,,,,,,,,117.89,,,
Richmond-upon-Thames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,455","138,737","108,000",,,,"4,957","150,296","118,500",,,,"5,391","172,729","136,000",,,,"4,911","201,779","159,000",,,,"5,977","237,840","183,500","86,000","37,300","20,900",61.13,,,,"4,062","284,503","219,500","113,000","36,700","21,100",,62.41,,,,"4,752","300,995","227,000","94,000","41,500","23,400",,LSVT,,,,"5,294","324,221","249,950","93,000","39,500","23,100",,LSVT,,,,"4,622","346,906","265,000","84,000","42,700","25,600",,LSVT,,,,"4,998","383,815","291,250","102,000","41,800","24,500",,LSVT,,,,"4,315","392,783","299,950","102,000","47,500","25,800",,LSVT,,,,"5,404","434,585","330,000","99,000","52,500","27,300",,LSVT,,,,"4,692","510,950","381,000","104,000","56,900","29,100",,LSVT,,,,"2,412","508,911","375,000",,LSVT,,,,"2,600","508,409","376,425","101,000","58,900","30,800",,LSVT,,,,"3,217","550,796","400,000","101,000","56,300","30,600",,LSVT,,,,"3,147","570,178","420,000","104,000","57,400","31,500",,LSVT,,,,"3,289","590,459","430,000","102,000","58,800","33,400",,LSVT,,,,"3,608","644,778","475,000","107,000","64,000","33,700",,LSVT,,,,,,,"3,425","730,459","534,995","104,000","64,600","35,800",,LSVT,,,,,,,"3,234","754,191","577,750","104,000","67,300","35,500",,LSVT,,,,,,,"2,884","775,357","605,000","103,000","67,000","36,600",,LSVT,,,,,,,"2,642","819,044","650,000","108,000","69,000","36,100",,LSVT,,,,,,,"105,000","73,800","37,600",,LSVT,,,,,,,"104,000","77,400","38,900",,..,,,,,,,"106,000","77,900","39,500",,..,,,,,,,"104,000","90,400","44,000",,..,,,,,,,,..,,,
Southwark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,650","84,677","71,000",,,,"3,132","87,617","72,625",,,,"4,429","103,515","85,000",,,,"4,384","121,755","99,000",,,,"5,252","142,789","123,000","114,000","20,400","14,600",54.74,,,,"5,075","184,697","155,000","120,000"," 22,500 "," 15,400 ",,56.56,,,,"5,273","209,574","180,000","97,000","25,900","16,900",,58.84,,,,"5,140","221,727","190,000","111,000","24,600","17,900",,58.24,,,,"4,699","240,345","208,500","115,000","25,400","18,200",,60.09,,,,"5,395","252,682","225,000","124,000","26,300","17,800",,61.27,,,,"4,542","273,515","239,973","133,000","29,500","20,000",,66.5,,,,"5,624","289,173","247,000","136,000","31,800","20,400",,70.09,,,,"5,262","332,738","276,000","136,000","36,000","21,900",,73.26,,,,"2,507","328,055","278,000",,77.42,,,,"2,357","338,570","285,000","127,000","36,800","23,300",,79.54,,,,"3,333","376,688","314,500","136,000","35,400","23,800",,80.6,,,,"3,205","400,980","320,000","138,000","36,500","24,300",,85.2,,,,"3,374","415,796","332,250","135,000","37,500","25,000",,93.65,,,,"4,240","441,747","350,000","136,000","40,500","26,200",,98.68,,,,,,,"3,868","518,144","420,000","140,000","41,600","27,700",,99.18,,,,,,,"4,035","583,065","475,000","144,000","44,200","27,100",,103.9,,,,,,,"3,609","643,858","512,750","148,000","45,400","29,400",,100.76,,,,,,,"3,379","641,210","530,000","146,000","48,600","29,400",,100.13,,,,,,,"158,000","49,400","31,400",,98.75,,,,,,,"152,000","53,400","33,500",,101.68,,,,,,,"146,000","55,300","33,900",,104.99,,,,,,,"156,000","57,800","34,400",,107.18,,,,,,,,112.61,,,
Sutton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,389","76,952","67,000",,,,"4,270","79,561","69,000",,,,"4,573","88,169","75,000",,,,"4,481","100,413","85,000",,,,"5,037","113,447","98,000","93,000","21,000","16,400",54.15,,,,"4,398","138,136","119,950","82,000","21,900","17,000",,56.88,,,,"4,878","153,408","132,500","98,000","23,100","17,600",,55.23,,,,"5,059","177,432","156,000","93,000","23,700","17,800",,57.6,,,,"4,531","197,763","175,000","90,000","24,600","18,400",,59.36,,,,"4,740","212,522","187,000","95,000","25,600","18,900",,64.41,,,,"3,843","225,682","200,000","101,000","26,300","20,200",,64.58,,,,"4,820","239,235","210,000","99,000","28,400","21,400",,69.06,,,,"4,748","261,248","233,000","100,000","30,000","22,500",,74.55,,,,"2,397","259,375","230,000",,77.44,,,,"2,420","239,794","210,000","98,000","30,000","23,200",,79.95,,,,"2,377","264,951","235,000","103,000","29,100","22,300",,81.31,,,,"2,444","267,042","233,000","99,000","31,400","25,300",,87.2,,,,"2,568","272,250","240,000","97,000","32,400","25,000",,94.51,,,,"2,994","286,681","250,000","103,000","32,800","25,100",,99.41,,,,,,,"3,396","322,434","285,000","102,000","33,600","25,900",,108.82,,,,,,,"3,260","358,826","320,250","102,000","35,400","27,400",,108.86,,,,,,,"3,206","387,585","347,500","103,000","35,500","27,300",,107.74,,,,,,,"2,901","402,121","367,000","103,000","36,900","28,200",,107.06,,,,,,,"101,000","38,500","29,700",,107.49,,,,,,,"102,000","40,200","30,200",,108.11,,,,,,,"100,000","41,400","31,400",,112.24,,,,,,,"102,000","45,200","33,300",,114.94,,,,,,,,120.00,,,
Tower Hamlets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,155","76,933","67,500",,,,"2,511","88,715","77,000",,,,"3,833","110,807","95,000",,,,"4,559","129,367","115,000",,,,"5,531","159,999","140,000","59,000","22,900","14,200",58.71,,,,"5,101","190,411","162,500","81,000"," 25,000 "," 16,500 ",,62.86,,,,"5,003","208,596","184,950","76,000","29,900","19,100",,67.67,,,,"4,771","222,708","200,000","76,000","28,500","19,300",,69.65,,,,"4,149","237,860","211,000","69,000","28,300","18,300",,70.19,,,,"5,841","260,847","230,000","90,000","29,600","19,200",,66.76,,,,"4,849","265,639","238,000","89,000","31,500","19,800",,70.14,,,,"5,365","281,493","249,995","103,000","33,500","19,400",,73.32,,,,"5,463","333,393","290,000","103,000","37,400","21,200",,77.33,,,,"2,562","328,379","289,998",,81.36,,,,"2,996","333,797","290,000","110,000","38,300","24,500",,83.86,,,,"3,788","345,385","305,000","107,000","37,400","24,000",,86.46,,,,"3,368","345,026","300,000","112,000","38,200","24,700",,92.23,,,,"3,600","355,588","305,000","115,000","39,000","25,800",,99.16,,,,"4,376","383,842","329,000","119,000","40,800","27,000",,103.56,,,,,,,"5,004","445,319","385,000","121,000","41,800","26,600",,111.48,,,,,,,"4,074","483,423","425,000","122,000","45,000","28,900",,112.07,,,,,,,"4,551","524,508","470,000","130,000","46,600","30,500",,114.53,,,,,,,"3,290","554,009","490,000","136,000","46,600","30,200",,110.81,,,,,,,"136,000","49,300","31,100",,109.96,,,,,,,"140,000","50,100","32,700",,109.04,,,,,,,"139,000","52,700","34,100",,112.29,,,,,,,"147,000","55,500","35,500",,114.13,,,,,,,,119.04,,,
Waltham Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,301","58,120","55,000",,,,"3,994","60,623","56,000",,,,"4,619","67,020","62,000",,,,"4,643","77,012","71,000",,,,"5,297","88,497","79,995","91,000","18,500","15,000",59.54,,,,"5,035","105,279","96,000","114,000","19,600","15,100",,62.65,,,,"5,334","123,846","118,000","99,000","20,300","16,600",,64.47,,,,"5,373","155,056","149,000","102,000","20,100","17,200",,66.68,,,,"5,008","178,958","172,000","94,000","20,100","16,800",,68.29,,,,"4,821","195,125","187,500","111,000","20,800","16,600",,70.08,,,,"4,356","205,386","198,000","114,000","22,000","17,700",,72.08,,,,"5,064","218,586","215,000","115,000","23,100","17,900",,70.56,,,,"4,893","245,515","239,000","121,000","23,200","18,200",,79.23,,,,"2,446","238,156","231,000",,78.27,,,,"1,994","220,077","211,500","119,000","24,800","20,600",,80.41,,,,"2,267","236,576","230,000","129,000","24,400","19,700",,80.95,,,,"2,329","240,234","232,000","123,000","25,300","20,300",,86.51,,,,"2,339","251,671","241,500","121,000","26,200","21,400",,92.39,,,,"2,875","281,255","265,000","124,000","27,000","21,900",,104.79,,,,,,,"3,470","334,326","320,000","128,000","28,200","22,700",,100.8,,,,,,,"3,395","384,365","372,000","135,000","29,400","23,900",,104.6,,,,,,,"3,010","431,878","422,000","135,000","30,300","24,500",,104.86,,,,,,,"2,711","459,922","445,000","138,000","31,900","25,500",,104.69,,,,,,,"134,000","33,700","26,800",,104.69,,,,,,,"139,000","34,900","27,700",,102.65,,,,,,,"133,000","37,100","28,900",,104.72,,,,,,,"140,000","40,100","30,900",,105.67,,,,,,,,110.32,,,
Wandsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,699","110,955","85,500",,,,"7,265","120,488","94,000",,,,"8,485","137,915","108,000",,,,"7,658","156,645","125,000",,,,"9,592","192,372","155,000","144,000","29,300","18,100",65.61,,,,"7,628","233,777","182,000"," 144,000 "," 36,300 "," 21,000 ",,66.95,,,,"8,208","252,378","204,000","143,000","36,000","21,700",,70.05,,,,"8,658","285,773","235,000","143,000","35,700","22,000",,72.48,,,,"7,245","299,813","242,500","134,000","37,800","22,600",,77.48,,,,"8,511","335,011","260,000","154,000","38,200","22,000",,81.62,,,,"7,435","349,202","277,500","155,000","44,100","24,500",,86.98,,,,"9,445","395,120","312,000","162,000","45,400","25,300",,94.63,,,,"8,506","455,751","355,000","167,000","49,500","26,100",,99.84,,,,"3,997","444,944","350,000",,105.06,,,,"4,424","459,109","350,000","157,000","52,800","29,200",,108.07,,,,"5,329","493,683","380,000","159,000","50,700","29,000",,104.64,,,,"5,274","508,691","390,000","161,000","53,400","29,400",,112.49,,,,"5,296","532,430","415,750","155,000","54,700","31,000",,120.85,,,,"6,257","584,510","465,000","164,000","59,900","31,900",,130.83,,,,,,,"5,934","681,731","532,250","168,000","59,200","32,900",,125.85,,,,,,,"5,882","687,589","560,000","171,000","63,600","34,200",,128.45,,,,,,,"5,531","775,484","644,000","169,000","64,900","35,000",,128.85,,,,,,,"4,959","818,443","654,000","171,000","67,900","34,500",,128.14,,,,,,,"168,000","70,400","37,100",,126.35,,,,,,,"172,000","72,400","38,900",,125.2,,,,,,,"168,000","75,300","39,000",,128.49,,,,,,,"182,000","79,700","40,200",,129.75,,,,,,,,130.19,,,
Westminster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,038","183,338","127,550",,,,"4,830","190,417","133,000",,,,"6,539","228,494","160,950",,,,"5,524","282,269","177,000",,,,"6,783","307,029","220,000","96,000","46,400","17,300",73.96,,,,"6,364","374,658","250,000"," 113,000 "," 49,100 "," 23,000 ",,76.15,,,,"5,891","410,251","280,000","95,000","55,600","21,900",,77.84,,,,"6,414","440,783","319,475","88,000","56,600","22,800",,81.3,,,,"5,217","457,656","325,000","85,000","57,500","23,500",,81.59,,,,"5,226","498,794","345,445","105,000","56,500","23,100",,84.26,,,,"4,984","545,120","375,000","105,000","68,100","27,100",,87.08,,,,"6,354","589,613","410,000","108,000","73,600","27,000",,90.22,,,,"5,440","693,083","475,000","111,000","82,600","29,200",,93.96,,,,"2,801","781,173","495,000",,93.64,,,,"2,900","742,745","499,999","103,000","93,500","31,900",,96.61,,,,"3,603","823,306","580,000","107,000","83,400","31,400",,98.03,,,,"3,297","958,412","600,000","104,000","88,200","32,400",,106.03,,,,"3,237","1,147,250","635,000","99,000","92,200","35,200",,111.43,,,,"3,635","1,299,376","725,000","100,000","107,000","36,400",,117.92,,,,,,,"3,536","1,464,109","875,000","102,000","104,000","35,100",,122.19,,,,,,,"2,869","1,361,091","890,000","105,000","109,000","37,800",,126.14,,,,,,,"2,772","1,579,839","1,024,500","106,000","107,000","36,100",,131.87,,,,,,,"2,455","1,718,124","1,025,000","98,000","124,000","39,700",,129.98,,,,,,,"102,000","120,000","39,200",,127.09,,,,,,,"98,000","118,000","39,900",,121.27,,,,,,,"100,000","123,000","42,100",,124.56,,,,,,,"102,000","133,000","41,200",,126.76,,,,,,,,132.27,,,
North East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,812","48,970","42,250",,,,"37,922","50,870","44,500",,,,"41,244","53,908","46,995",,,,"41,946","55,801","48,000",,,,"44,496","59,292","50,473","1,090,000","16,300","12,900",36.76,,,,"47,123","61,707","52,000","1,160,000","16,600","13,200",,38.54,,,,"53,247","66,108","55,000","1,180,000","17,500","14,200",,40.43,,,,"59,880","76,205","60,000","1,190,000","17,900","14,400",,41.52,,,,"61,847","94,299","77,500","1,170,000","18,500","14,800",,42.00,,,,"60,123","115,307","95,000","1,260,000","19,100","15,000",,43.48,,,,"50,299","125,999","108,000","1,250,000","20,200","15,500",,45.56,,,,"60,651","136,163","119,000","1,330,000","21,000","16,300",,47.82,,,,"61,711","142,069","122,000","1,320,000","22,100","17,100",,51.07,,,,"30,523","141,506","120,000",,53.09,,,,"24,408","139,768","120,000","1,190,000","23,900","18,400",,54.61,,,,"25,729","143,850","122,000","1,190,000","22,900","18,000",,56.02,,,,"26,821","136,736","117,495","1,170,000","24,300","19,100",,59.38,,,,"26,100","139,034","120,000","1,160,000","25,000","19,700",,68.74,,,,"30,018","141,292","122,500","1,150,000","26,000","20,400",,69.39,,,,,,,"35,333","148,461","125,125","1,120,000","26,600","20,800",,73.54,,,,,,,"36,113","153,507","132,500","1,150,000","27,600","21,500",,75.59,,,,,,,"37,038","156,632","134,950","1,140,000","27,600","22,100",,74.96,,,,,,,"38,157","159,970","135,000","1,120,000","28,500","22,600",,74.40,,,,,,,"1,160,000","28,800","22,900",,73.79,,,,,,,"1,140,000","30,000","23,800",,72.82,,,,,,,"1,170,000","30,600","24,300",,75.28,,,,,,,"1,230,000","31,500","24,900",,76.59,,,,,,,,79.59,,,
North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,372","52,590","45,000",,,,"107,586","54,395","46,250",,,,"120,214","58,286","49,000",,,,"119,459","60,745","50,000",,,,"132,012","65,496","53,500","3,080,000","17,500","13,500",40.57,,,,"136,165","69,803","56,500","3,220,000","18,000","13,900",,42.24,,,,"147,093","76,908","60,000","3,190,000","18,800","14,600",,44.20,,,,"169,856","88,315","70,000","3,210,000","19,300","14,900",,45.83,,,,"170,971","104,548","85,000","3,160,000","19,500","14,900",,46.53,,,,"168,970","126,472","107,500","3,310,000","20,500","15,500",,47.29,,,,"134,950","138,266","119,000","3,360,000","21,700","16,100",,48.97,,,,"164,386","150,243","127,500","3,450,000","22,300","16,600",,50.79,,,,"160,537","159,618","134,950","3,490,000","23,300","17,400",,53.60,,,,"79,959","156,614","129,559",,55.63,,,,"67,543","154,472","130,000","3,300,000","24,900","18,500",,57.19,,,,"71,079","159,524","130,000","3,340,000","24,200","18,400",,58.76,,,,"71,466","154,790","127,000","3,260,000","25,400","19,200",,62.63,,,,"69,774","155,770","130,000","3,260,000","26,000","19,700",,68.70,,,,"84,413","159,018","132,000","3,220,000","27,300","20,600",,71.69,,,,,,,"101,351","166,132","138,500","3,230,000","28,000","21,100",,74.28,,,,,,,"106,321","173,132","145,000","3,260,000","29,300","21,900",,75.65,,,,,,,"111,809","180,124","150,000","3,280,000","29,400","22,300",,75.30,,,,,,,"111,847","188,752","156,000","3,260,000","30,300","23,100",,74.72,,,,,,,"3,330,000","30,900","23,700",,74.52,,,,,,,"3,310,000","32,100","24,600",,74.50,,,,,,,"3,340,000","32,600","25,000",,76.45,,,,,,,"3,490,000","34,000","25,700",,77.83,,,,,,,,80.96,,,
Yorkshire and The Humber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,310","52,937","45,500",,,,"80,911","54,601","46,500",,,,"89,282","57,496","48,950",,,,"87,456","59,368","50,000",,,,"98,037","63,661","53,000","2,210,000","17,300","13,400",35.11,,,,"100,677","68,170","56,000","2,390,000","17,400","13,600",,36.95,,,,"112,855","73,680","59,950","2,340,000","18,700","14,600",,39.44,,,,"125,243","86,821","70,000","2,360,000","18,900","14,600",,41.70,,,,"123,898","105,636","87,500","2,340,000","19,400","15,100",,42.48,,,,"121,497","127,314","110,000","2,430,000","20,300","15,500",,44.18,,,,"102,841","138,764","119,995","2,500,000","21,400","16,200",,46.03,,,,"125,714","150,387","128,500","2,590,000","22,100","16,600",,48.28,,,,"120,014","158,900","135,000","2,580,000","23,100","17,400",,51.74,,,,"62,997","155,602","129,995",,53.87,,,,"54,121","153,359","130,000","2,410,000","24,600","18,200",,55.63,,,,"55,025","161,184","135,000","2,470,000","23,800","18,200",,56.84,,,,"55,434","155,417","130,000","2,390,000","24,900","19,000",,60.55,,,,"56,044","157,006","130,000","2,380,000","25,600","19,600",,65.30,,,,"66,522","159,205","134,950","2,360,000","26,700","20,400",,69.31,,,,,,,"78,770","165,671","139,995","2,390,000","27,400","21,000",,73.25,,,,,,,"79,357","173,139","145,000","2,410,000","28,400","21,500",,74.97,,,,,,,"82,039","179,891","150,000","2,430,000","28,400","21,900",,73.65,,,,,,,"83,287","186,433","155,000","2,410,000","29,400","22,600",,73.17,,,,,,,"2,430,000","30,200","23,300",,72.58,,,,,,,"2,430,000","31,200","24,300",,72.16,,,,,,,"2,460,000","31,500","24,500",,74.35,,,,,,,"2,550,000","33,000","25,300",,75.55,,,,,,,,78.78,,,
East Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,562","54,224","45,950",,,,"76,704","56,250","47,450",,,,"86,394","60,145","50,000",,,,"84,827","64,223","53,500",,,,"96,835","69,684","57,500","1,940,000","18,000","13,900",38.05,,,,"95,834","76,207","61,250","2,080,000","18,200","13,900",,39.66,,,,"106,547","85,094","70,000","2,070,000","19,200","14,500",,41.45,,,,"114,644","102,317","85,000","2,090,000","19,800","15,200",,43.63,,,,"105,484","125,150","107,000","2,090,000","20,100","15,400",,44.42,,,,"105,413","144,406","126,000","2,190,000","20,800","15,900",,45.94,,,,"87,448","153,247","132,000","2,240,000","22,100","16,600",,48.27,,,,"108,735","159,512","137,000","2,300,000","22,900","17,000",,50.38,,,,"104,230","168,424","144,185","2,340,000","23,900","17,900",,53.65,,,,"54,656","162,800","138,000",,56.00,,,,"52,209","157,812","135,000","2,200,000","25,100","18,500",,57.46,,,,"54,082","164,791","139,000","2,220,000","24,400","18,800",,59.06,,,,"53,935","161,006","135,995","2,170,000","25,600","19,300",,62.94,,,,"54,681","162,576","138,000","2,170,000","26,400","19,900",,69.39,,,,"65,296","166,615","141,500","2,140,000","27,600","20,800",,72.88,,,,,,,"78,114","176,514","150,000","2,160,000","28,200","21,200",,75.34,,,,,,,"78,452","187,675","160,000","2,210,000","29,600","22,100",,76.27,,,,,,,"82,077","196,868","168,000","2,210,000","29,300","22,200",,75.70,,,,,,,"78,969","208,155","180,000","2,220,000","30,500","23,300",,75.04,,,,,,,"2,260,000","31,000","23,700",,74.14,,,,,,,"2,230,000","32,100","24,700",,74.05,,,,,,,"2,310,000","32,200","24,800",,76.68,,,,,,,"2,380,000","33,800","25,800",,77.84,,,,,,,,81.25,,,
West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,771","59,057","49,500",,,,"85,130","61,111","51,000",,,,"94,027","65,716","54,500",,,,"90,490","70,196","57,000",,,,"103,060","76,742","60,000","2,380,000","17,900","13,800",39.82,,,,"100,644","84,010","67,000","2,530,000","18,300","14,300",,41.31,,,,"108,838","94,235","75,950","2,500,000","19,100","14,800",,44.68,,,,"120,501","111,134","89,950","2,500,000","19,500","15,300",,46.67,,,,"112,535","130,793","110,000","2,490,000","19,800","15,400",,47.43,,,,"113,319","150,859","128,000","2,640,000","20,500","15,900",,49.28,,,,"95,958","158,311","134,000","2,640,000","21,700","16,400",,51.59,,,,"117,310","168,532","142,065","2,710,000","22,600","17,000",,54.11,,,,"110,880","175,153","147,000","2,750,000","23,400","17,600",,57.32,,,,"58,278","171,291","142,000",,59.54,,,,"52,444","167,326","142,000","2,530,000","24,800","18,600",,61.47,,,,"55,476","177,929","147,000","2,610,000","24,000","18,400",,63.22,,,,"56,071","171,740","142,500","2,560,000","25,400","19,400",,67.40,,,,"56,667","173,283","145,000","2,530,000","26,000","19,900",,72.11,,,,"66,897","178,030","149,995","2,500,000","27,200","20,500",,76.47,,,,,,,"79,478","187,311","156,000","2,550,000","27,700","20,900",,80.68,,,,,,,"81,327","197,017","164,000","2,570,000","29,200","21,900",,81.16,,,,,,,"85,199","205,464","170,000","2,580,000","29,600","22,400",,80.18,,,,,,,"83,919","216,589","180,000","2,560,000","30,300","23,200",,79.48,,,,,,,"2,630,000","31,200","23,600",,79.02,,,,,,,"2,610,000","32,000","24,500",,77.98,,,,,,,"2,610,000","32,200","24,700",,80.29,,,,,,,"2,760,000","33,600","25,500",,81.65,,,,,,,,84.65,,,
East of England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93,121","69,225","57,500",,,,"114,681","71,411","58,800",,,,"131,176","78,315","63,500",,,,"124,686","86,116","69,000",,,,"144,820","95,205","76,000","2,530,000","21,300","15,500",45.59,,,,"129,275","109,552","86,500","2,750,000","22,000","15,800",,47.78,,,,"144,202","124,523","99,995","2,720,000","23,100","16,500",,49.94,,,,"150,068","149,286","125,000","2,780,000","23,300","16,900",,51.88,,,,"135,613","171,812","145,000","2,740,000","23,500","16,900",,52.48,,,,"140,566","189,970","163,000","2,840,000","24,400","17,400",,54.93,,,,"118,437","199,817","169,995","2,980,000","25,800","18,000",,57.62,,,,"149,083","211,762","178,000","3,010,000","27,000","18,700",,60.15,,,,"142,967","227,557","190,000","3,070,000","28,200","19,400",,64.75,,,,"71,604","225,874","185,500",,66.83,,,,"76,338","215,142","175,000","2,940,000","29,700","20,400",,68.13,,,,"79,881","237,790","195,000","2,980,000","28,900","20,500",,70.28,,,,"80,406","232,516","189,995","2,970,000","30,100","21,100",,75.26,,,,"80,661","235,856","193,000","2,950,000","30,900","21,900",,79.58,,,,"95,521","243,825","200,000","2,970,000","32,700","22,900",,86.79,,,,,,,"112,229","260,837","215,000","2,980,000","33,200","23,200",,89.14,,,,,,,"109,398","283,637","238,000","3,040,000","35,000","24,100",,91.50,,,,,,,"107,783","305,375","258,000","3,030,000","34,900","24,700",,91.03,,,,,,,"100,250","325,181","277,000","3,070,000","36,100","25,500",,90.24,,,,,,,"3,090,000","36,800","26,000",,89.50,,,,,,,"3,090,000","38,000","27,100",,89.27,,,,,,,"3,110,000","38,600","27,500",,92.10,,,,,,,"3,240,000","40,900","28,400",,93.86,,,,,,,,97.67,,,
